1:STD:ASSIGN:<NO-OP>:org.jfree.chart.util.RectangleInsets:37:1902273207559319996L |==> 0L
216:AOR:+(double,double):-(double,double):org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:249:h + topMargin + calculateBottomOutset(h) |==> h + topMargin - calculateBottomOutset(h)
217:AOR:+(double,double):/(double,double):org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:249:h + topMargin + calculateBottomOutset(h) |==> (h + topMargin) / calculateBottomOutset(h)
218:STD:<ASSIGN>:<NO-OP>:org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:249:h = h + topMargin + calculateBottomOutset(h) |==> <NO-OP>
219:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:251:vertical == LengthAdjustmentType.CONTRACT |==> false
220:STD:ASSIGN:<NO-OP>:org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:252:calculateTopInset(h) |==> 0.0
221:AOR:+(double,double):%(double,double):org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:253:y + topMargin |==> y % topMargin
222:AOR:+(double,double):*(double,double):org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:253:y + topMargin |==> y * topMargin
223:AOR:+(double,double):-(double,double):org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:253:y + topMargin |==> y - topMargin
224:AOR:+(double,double):/(double,double):org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:253:y + topMargin |==> y / topMargin
225:STD:<ASSIGN>:<NO-OP>:org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:253:y = y + topMargin |==> <NO-OP>
226:AOR:-(double,double):%(double,double):org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:254:h - topMargin |==> h % topMargin
227:AOR:-(double,double):*(double,double):org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:254:h - topMargin |==> h * topMargin
228:AOR:-(double,double):+(double,double):org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:254:h - topMargin |==> h + topMargin
229:AOR:-(double,double):/(double,double):org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:254:h - topMargin |==> h / topMargin
230:AOR:-(double,double):%(double,double):org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:254:h - topMargin - calculateBottomInset(h) |==> (h - topMargin) % calculateBottomInset(h)
231:AOR:-(double,double):*(double,double):org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:254:h - topMargin - calculateBottomInset(h) |==> (h - topMargin) * calculateBottomInset(h)
232:AOR:-(double,double):+(double,double):org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:254:h - topMargin - calculateBottomInset(h) |==> h - topMargin + calculateBottomInset(h)
233:AOR:-(double,double):/(double,double):org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:254:h - topMargin - calculateBottomInset(h) |==> (h - topMargin) / calculateBottomInset(h)
234:STD:<ASSIGN>:<NO-OP>:org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:254:h = h - topMargin - calculateBottomInset(h) |==> <NO-OP>
235:STD:CALL:<NO-OP>:org.jfree.chart.util.RectangleInsets@createAdjustedRectangle:256:new Rectangle2D.Double(x, y, w, h) |==> null
236:LVR:TRUE:FALSE:org.jfree.chart.util.RectangleInsets@createInsetRectangle:267:true |==> false
237:LVR:TRUE:FALSE:org.jfree.chart.util.RectangleInsets@createInsetRectangle:267:true |==> false
238:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.jfree.chart.util.RectangleInsets@createInsetRectangle:281:base == null |==> false
239:LVR:<CLASS>:<NULL>:org.jfree.chart.util.RectangleInsets@createInsetRectangle:282:"Null \'base\' argument." |==> null
240:LVR:0:POS:org.jfree.chart.util.RectangleInsets@createInsetRectangle:284:0.0 |==> 1.0
241:LVR:0:NEG:org.jfree.chart.util.RectangleInsets@createInsetRectangle:284:0.0 |==> -1.0
242:LVR:0:POS:org.jfree.chart.util.RectangleInsets@createInsetRectangle:285:0.0 |==> 1.0
243:LVR:0:NEG:org.jfree.chart.util.RectangleInsets@createInsetRectangle:285:0.0 |==> -1.0
244:COR:vertical:TRUE:org.jfree.chart.util.RectangleInsets@createInsetRectangle:286:vertical |==> false
245:COR:vertical:FALSE:org.jfree.chart.util.RectangleInsets@createInsetRectangle:286:vertical |==> true
246:STD:<ASSIGN>:<NO-OP>:org.jfree.chart.util.RectangleInsets@createInsetRectangle:287:topMargin = calculateTopInset(base.getHeight()) |==> <NO-OP>
247:STD:<ASSIGN>:<NO-OP>:org.jfree.chart.util.RectangleInsets@createInsetRectangle:288:bottomMargin = calculateBottomInset(base.getHeight()) |==> <NO-OP>
248:LVR:0:POS:org.jfree.chart.util.RectangleInsets@createInsetRectangle:290:0.0 |==> 1.0
249:LVR:0:NEG:org.jfree.chart.util.RectangleInsets@createInsetRectangle:290:0.0 |==> -1.0
250:LVR:0:POS:org.jfree.chart.util.RectangleInsets@createInsetRectangle:291:0.0 |==> 1.0
251:LVR:0:NEG:org.jfree.chart.util.RectangleInsets@createInsetRectangle:291:0.0 |==> -1.0
252:COR:horizontal:TRUE:org.jfree.chart.util.RectangleInsets@createInsetRectangle:292:horizontal |==> false
253:COR:horizontal:FALSE:org.jfree.chart.util.RectangleInsets@createInsetRectangle:292:horizontal |==> true
254:STD:<ASSIGN>:<NO-OP>:org.jfree.chart.util.RectangleInsets@createInsetRectangle:293:leftMargin = calculateLeftInset(base.getWidth()) |==> <NO-OP>
255:STD:<ASSIGN>:<NO-OP>:org.jfree.chart.util.RectangleInsets@createInsetRectangle:294:rightMargin = calculateRightInset(base.getWidth()) |==> <NO-OP>
256:AOR:+(double,double):%(double,double):org.jfree.chart.util.RectangleInsets@createInsetRectangle:297:base.getX() + leftMargin |==> base.getX() % leftMargin
257:AOR:+(double,double):*(double,double):org.jfree.chart.util.RectangleInsets@createInsetRectangle:297:base.getX() + leftMargin |==> base.getX() * leftMargin
258:AOR:+(double,double):-(double,double):org.jfree.chart.util.RectangleInsets@createInsetRectangle:297:base.getX() + leftMargin |==> base.getX() - leftMargin
259:AOR:+(double,double):/(double,double):org.jfree.chart.util.RectangleInsets@createInsetRectangle:297:base.getX() + leftMargin |==> base.getX() / leftMargin
260:AOR:+(double,double):%(double,double):org.jfree.chart.util.RectangleInsets@createInsetRectangle:298:base.getY() + topMargin |==> base.getY() % topMargin
261:AOR:+(double,double):*(double,double):org.jfree.chart.util.RectangleInsets@createInsetRectangle:298:base.getY() + topMargin |==> base.getY() * topMargin
262:AOR:+(double,double):-(double,double):org.jfree.chart.util.RectangleInsets@createInsetRectangle:298:base.getY() + topMargin |==> base.getY() - topMargin
263:AOR:+(double,double):/(double,double):org.jfree.chart.util.RectangleInsets@createInsetRectangle:298:base.getY() + topMargin |==> base.getY() / topMargin
264:AOR:-(double,double):%(double,double):org.jfree.chart.util.RectangleInsets@createInsetRectangle:299:base.getWidth() - leftMargin |==> base.getWidth() % leftMargin
265:AOR:-(double,double):*(double,double):org.jfree.chart.util.RectangleInsets@createInsetRectangle:299:base.getWidth() - leftMargin |==> base.getWidth() * leftMargin
266:AOR:-(double,double):+(double,double):org.jfree.chart.util.RectangleInsets@createInsetRectangle:299:base.getWidth() - leftMargin |==> base.getWidth() + leftMargin
267:AOR:-(double,double):/(double,double):org.jfree.chart.util.RectangleInsets@createInsetRectangle:299:base.getWidth() - leftMargin |==> base.getWidth() / leftMargin
268:AOR:-(double,double):%(double,double):org.jfree.chart.util.RectangleInsets@createInsetRectangle:299:base.getWidth() - leftMargin - rightMargin |==> (base.getWidth() - leftMargin) % rightMargin
269:AOR:-(double,double):*(double,double):org.jfree.chart.util.RectangleInsets@createInsetRectangle:299:base.getWidth() - leftMargin - rightMargin |==> (base.getWidth() - leftMargin) * rightMargin
270:AOR:-(double,double):+(double,double):org.jfree.chart.util.RectangleInsets@createInsetRectangle:299:base.getWidth() - leftMargin - rightMargin |==> base.getWidth() - leftMargin + rightMargin
271:AOR:-(double,double):/(double,double):org.jfree.chart.util.RectangleInsets@createInsetRectangle:299:base.getWidth() - leftMargin - rightMargin |==> (base.getWidth() - leftMargin) / rightMargin
272:AOR:-(double,double):%(double,double):org.jfree.chart.util.RectangleInsets@createInsetRectangle:300:base.getHeight() - topMargin |==> base.getHeight() % topMargin
273:AOR:-(double,double):*(double,double):org.jfree.chart.util.RectangleInsets@createInsetRectangle:300:base.getHeight() - topMargin |==> base.getHeight() * topMargin
274:AOR:-(double,double):+(double,double):org.jfree.chart.util.RectangleInsets@createInsetRectangle:300:base.getHeight() - topMargin |==> base.getHeight() + topMargin
275:AOR:-(double,double):/(double,double):org.jfree.chart.util.RectangleInsets@createInsetRectangle:300:base.getHeight() - topMargin |==> base.getHeight() / topMargin
276:AOR:-(double,double):%(double,double):org.jfree.chart.util.RectangleInsets@createInsetRectangle:300:base.getHeight() - topMargin - bottomMargin |==> (base.getHeight() - topMargin) % bottomMargin
277:AOR:-(double,double):*(double,double):org.jfree.chart.util.RectangleInsets@createInsetRectangle:300:base.getHeight() - topMargin - bottomMargin |==> (base.getHeight() - topMargin) * bottomMargin
278:AOR:-(double,double):+(double,double):org.jfree.chart.util.RectangleInsets@createInsetRectangle:300:base.getHeight() - topMargin - bottomMargin |==> base.getHeight() - topMargin + bottomMargin
279:AOR:-(double,double):/(double,double):org.jfree.chart.util.RectangleInsets@createInsetRectangle:300:base.getHeight() - topMargin - bottomMargin |==> (base.getHeight() - topMargin) / bottomMargin
280:LVR:TRUE:FALSE:org.jfree.chart.util.RectangleInsets@createOutsetRectangle:312:true |==> false
281:LVR:TRUE:FALSE:org.jfree.chart.util.RectangleInsets@createOutsetRectangle:312:true |==> false
282:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.jfree.chart.util.RectangleInsets@createOutsetRectangle:327:base == null |==> false
283:LVR:<CLASS>:<NULL>:org.jfree.chart.util.RectangleInsets@createOutsetRectangle:328:"Null \'base\' argument." |==> null
284:LVR:0:POS:org.jfree.chart.util.RectangleInsets@createOutsetRectangle:330:0.0 |==> 1.0
285:LVR:0:NEG:org.jfree.chart.util.RectangleInsets@createOutsetRectangle:330:0.0 |==> -1.0
286:LVR:0:POS:org.jfree.chart.util.RectangleInsets@createOutsetRectangle:331:0.0 |==> 1.0
287:LVR:0:NEG:org.jfree.chart.util.RectangleInsets@createOutsetRectangle:331:0.0 |==> -1.0
288:COR:vertical:TRUE:org.jfree.chart.util.RectangleInsets@createOutsetRectangle:332:vertical |==> false
289:COR:vertical:FALSE:org.jfree.chart.util.RectangleInsets@createOutsetRectangle:332:vertical |==> true
290:STD:<ASSIGN>:<NO-OP>:org.jfree.chart.util.RectangleInsets@createOutsetRectangle:333:topMargin = calculateTopOutset(base.getHeight()) |==> <NO-OP>
291:STD:<ASSIGN>:<NO-OP>:org.jfree.chart.util.RectangleInsets@createOutsetRectangle:334:bottomMargin = calculateBottomOutset(base.getHeight()) |==> <NO-OP>
292:LVR:0:POS:org.jfree.chart.util.RectangleInsets@createOutsetRectangle:336:0.0 |==> 1.0
293:LVR:0:NEG:org.jfree.chart.util.RectangleInsets@createOutsetRectangle:336:0.0 |==> -1.0
294:LVR:0:POS:org.jfree.chart.util.RectangleInsets@createOutsetRectangle:337:0.0 |==> 1.0
295:LVR:0:NEG:org.jfree.chart.util.RectangleInsets@createOutsetRectangle:337:0.0 |==> -1.0
296:COR:horizontal:TRUE:org.jfree.chart.util.RectangleInsets@createOutsetRectangle:338:horizontal |==> false
297:COR:horizontal:FALSE:org.jfree.chart.util.RectangleInsets@createOutsetRectangle:338:horizontal |==> true
298:STD:<ASSIGN>:<NO-OP>:org.jfree.chart.util.RectangleInsets@createOutsetRectangle:339:leftMargin = calculateLeftOutset(base.getWidth()) |==> <NO-OP>
299:STD:<ASSIGN>:<NO-OP>:org.jfree.chart.util.RectangleInsets@createOutsetRectangle:340:rightMargin = calculateRightOutset(base.getWidth()) |==> <NO-OP>
300:AOR:-(double,double):%(double,double):org.jfree.chart.util.RectangleInsets@createOutsetRectangle:343:base.getX() - leftMargin |==> base.getX() % leftMargin
301:AOR:-(double,double):*(double,double):org.jfree.chart.util.RectangleInsets@createOutsetRectangle:343:base.getX() - leftMargin |==> base.getX() * leftMargin
302:AOR:-(double,double):+(double,double):org.jfree.chart.util.RectangleInsets@createOutsetRectangle:343:base.getX() - leftMargin |==> base.getX() + leftMargin
303:AOR:-(double,double):/(double,double):org.jfree.chart.util.RectangleInsets@createOutsetRectangle:343:base.getX() - leftMargin |==> base.getX() / leftMargin
304:AOR:-(double,double):%(double,double):org.jfree.chart.util.RectangleInsets@createOutsetRectangle:344:base.getY() - topMargin |==> base.getY() % topMargin
305:AOR:-(double,double):*(double,double):org.jfree.chart.util.RectangleInsets@createOutsetRectangle:344:base.getY() - topMargin |==> base.getY() * topMargin
306:AOR:-(double,double):+(double,double):org.jfree.chart.util.RectangleInsets@createOutsetRectangle:344:base.getY() - topMargin |==> base.getY() + topMargin
307:AOR:-(double,double):/(double,double):org.jfree.chart.util.RectangleInsets@createOutsetRectangle:344:base.getY() - topMargin |==> base.getY() / topMargin
308:AOR:+(double,double):%(double,double):org.jfree.chart.util.RectangleInsets@createOutsetRectangle:345:base.getWidth() + leftMargin |==> base.getWidth() % leftMargin
309:AOR:+(double,double):*(double,double):org.jfree.chart.util.RectangleInsets@createOutsetRectangle:345:base.getWidth() + leftMargin |==> base.getWidth() * leftMargin
310:AOR:+(double,double):-(double,double):org.jfree.chart.util.RectangleInsets@createOutsetRectangle:345:base.getWidth() + leftMargin |==> base.getWidth() - leftMargin
311:AOR:+(double,double):/(double,double):org.jfree.chart.util.RectangleInsets@createOutsetRectangle:345:base.getWidth() + leftMargin |==> base.getWidth() / leftMargin
312:AOR:+(double,double):%(double,double):org.jfree.chart.util.RectangleInsets@createOutsetRectangle:345:base.getWidth() + leftMargin + rightMargin |==> (base.getWidth() + leftMargin) % rightMargin
313:AOR:+(double,double):*(double,double):org.jfree.chart.util.RectangleInsets@createOutsetRectangle:345:base.getWidth() + leftMargin + rightMargin |==> (base.getWidth() + leftMargin) * rightMargin
314:AOR:+(double,double):-(double,double):org.jfree.chart.util.RectangleInsets@createOutsetRectangle:345:base.getWidth() + leftMargin + rightMargin |==> base.getWidth() + leftMargin - rightMargin
315:AOR:+(double,double):/(double,double):org.jfree.chart.util.RectangleInsets@createOutsetRectangle:345:base.getWidth() + leftMargin + rightMargin |==> (base.getWidth() + leftMargin) / rightMargin
316:AOR:+(double,double):%(double,double):org.jfree.chart.util.RectangleInsets@createOutsetRectangle:346:base.getHeight() + topMargin |==> base.getHeight() % topMargin
317:AOR:+(double,double):*(double,double):org.jfree.chart.util.RectangleInsets@createOutsetRectangle:346:base.getHeight() + topMargin |==> base.getHeight() * topMargin
318:AOR:+(double,double):-(double,double):org.jfree.chart.util.RectangleInsets@createOutsetRectangle:346:base.getHeight() + topMargin |==> base.getHeight() - topMargin
319:AOR:+(double,double):/(double,double):org.jfree.chart.util.RectangleInsets@createOutsetRectangle:346:base.getHeight() + topMargin |==> base.getHeight() / topMargin
320:AOR:+(double,double):%(double,double):org.jfree.chart.util.RectangleInsets@createOutsetRectangle:346:base.getHeight() + topMargin + bottomMargin |==> (base.getHeight() + topMargin) % bottomMargin
321:AOR:+(double,double):*(double,double):org.jfree.chart.util.RectangleInsets@createOutsetRectangle:346:base.getHeight() + topMargin + bottomMargin |==> (base.getHeight() + topMargin) * bottomMargin
322:AOR:+(double,double):-(double,double):org.jfree.chart.util.RectangleInsets@createOutsetRectangle:346:base.getHeight() + topMargin + bottomMargin |==> base.getHeight() + topMargin - bottomMargin
323:AOR:+(double,double):/(double,double):org.jfree.chart.util.RectangleInsets@createOutsetRectangle:346:base.getHeight() + topMargin + bottomMargin |==> (base.getHeight() + topMargin) / bottomMargin
324:STD:ASSIGN:<NO-OP>:org.jfree.chart.util.RectangleInsets@calculateTopInset:358:this.top |==> 0.0
325:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.jfree.chart.util.RectangleInsets@calculateTopInset:359:this.unitType == UnitType.RELATIVE |==> false
326:AOR:*(double,double):%(double,double):org.jfree.chart.util.RectangleInsets@calculateTopInset:360:this.top * height |==> this.top % height
327:AOR:*(double,double):+(double,double):org.jfree.chart.util.RectangleInsets@calculateTopInset:360:this.top * height |==> this.top + height
328:AOR:*(double,double):-(double,double):org.jfree.chart.util.RectangleInsets@calculateTopInset:360:this.top * height |==> this.top - height
329:AOR:*(double,double):/(double,double):org.jfree.chart.util.RectangleInsets@calculateTopInset:360:this.top * height |==> this.top / height
330:STD:<ASSIGN>:<NO-OP>:org.jfree.chart.util.RectangleInsets@calculateTopInset:360:result = (this.top * height) |==> <NO-OP>
331:STD:CALL:<NO-OP>:org.jfree.chart.util.RectangleInsets@calculateTopInset:362:result |==> 0.0
332:STD:ASSIGN:<NO-OP>:org.jfree.chart.util.RectangleInsets@calculateTopOutset:373:this.top |==> 0.0
333:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.jfree.chart.util.RectangleInsets@calculateTopOutset:374:this.unitType == UnitType.RELATIVE |==> false
334:LVR:POS:0:org.jfree.chart.util.RectangleInsets@calculateTopOutset:375:1 |==> 0
335:LVR:POS:NEG:org.jfree.chart.util.RectangleInsets@calculateTopOutset:375:1 |==> -1
336:AOR:-(double,double):%(double,double):org.jfree.chart.util.RectangleInsets@calculateTopOutset:375:1 - this.top |==> 1 % this.top
337:AOR:-(double,double):*(double,double):org.jfree.chart.util.RectangleInsets@calculateTopOutset:375:1 - this.top |==> 1 * this.top
338:AOR:-(double,double):+(double,double):org.jfree.chart.util.RectangleInsets@calculateTopOutset:375:1 - this.top |==> 1 + this.top
339:AOR:-(double,double):/(double,double):org.jfree.chart.util.RectangleInsets@calculateTopOutset:375:1 - this.top |==> 1 / this.top
340:AOR:-(double,double):%(double,double):org.jfree.chart.util.RectangleInsets@calculateTopOutset:375:1 - this.top - this.bottom |==> (1 - this.top) % this.bottom
341:AOR:-(double,double):*(double,double):org.jfree.chart.util.RectangleInsets@calculateTopOutset:375:1 - this.top - this.bottom |==> (1 - this.top) * this.bottom
342:AOR:-(double,double):+(double,double):org.jfree.chart.util.RectangleInsets@calculateTopOutset:375:1 - this.top - this.bottom |==> 1 - this.top + this.bottom
343:AOR:-(double,double):/(double,double):org.jfree.chart.util.RectangleInsets@calculateTopOutset:375:1 - this.top - this.bottom |==> (1 - this.top) / this.bottom
344:AOR:/(double,double):%(double,double):org.jfree.chart.util.RectangleInsets@calculateTopOutset:375:height / (1 - this.top - this.bottom) |==> height % (1 - this.top - this.bottom)
345:AOR:/(double,double):*(double,double):org.jfree.chart.util.RectangleInsets@calculateTopOutset:375:height / (1 - this.top - this.bottom) |==> height * (1 - this.top - this.bottom)
346:AOR:/(double,double):+(double,double):org.jfree.chart.util.RectangleInsets@calculateTopOutset:375:height / (1 - this.top - this.bottom) |==> height + (1 - this.top - this.bottom)
347:AOR:/(double,double):-(double,double):org.jfree.chart.util.RectangleInsets@calculateTopOutset:375:height / (1 - this.top - this.bottom) |==> height - (1 - this.top - this.bottom)
348:AOR:*(double,double):%(double,double):org.jfree.chart.util.RectangleInsets@calculateTopOutset:375:(height / (1 - this.top - this.bottom)) * this.top |==> (height / (1 - this.top - this.bottom)) % this.top
349:AOR:*(double,double):+(double,double):org.jfree.chart.util.RectangleInsets@calculateTopOutset:375:(height / (1 - this.top - this.bottom)) * this.top |==> (height / (1 - this.top - this.bottom)) + this.top
350:AOR:*(double,double):-(double,double):org.jfree.chart.util.RectangleInsets@calculateTopOutset:375:(height / (1 - this.top - this.bottom)) * this.top |==> (height / (1 - this.top - this.bottom)) - this.top
351:AOR:*(double,double):/(double,double):org.jfree.chart.util.RectangleInsets@calculateTopOutset:375:(height / (1 - this.top - this.bottom)) * this.top |==> (height / (1 - this.top - this.bottom)) / this.top
352:STD:<ASSIGN>:<NO-OP>:org.jfree.chart.util.RectangleInsets@calculateTopOutset:375:result = (height / (1 - this.top - this.bottom)) * this.top |==> <NO-OP>
353:STD:CALL:<NO-OP>:org.jfree.chart.util.RectangleInsets@calculateTopOutset:377:result |==> 0.0
354:STD:ASSIGN:<NO-OP>:org.jfree.chart.util.RectangleInsets@calculateBottomInset:388:this.bottom |==> 0.0
355:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.jfree.chart.util.RectangleInsets@calculateBottomInset:389:this.unitType == UnitType.RELATIVE |==> false
356:AOR:*(double,double):%(double,double):org.jfree.chart.util.RectangleInsets@calculateBottomInset:390:this.bottom * height |==> this.bottom % height
357:AOR:*(double,double):+(double,double):org.jfree.chart.util.RectangleInsets@calculateBottomInset:390:this.bottom * height |==> this.bottom + height
358:AOR:*(double,double):-(double,double):org.jfree.chart.util.RectangleInsets@calculateBottomInset:390:this.bottom * height |==> this.bottom - height
359:AOR:*(double,double):/(double,double):org.jfree.chart.util.RectangleInsets@calculateBottomInset:390:this.bottom * height |==> this.bottom / height
360:STD:<ASSIGN>:<NO-OP>:org.jfree.chart.util.RectangleInsets@calculateBottomInset:390:result = (this.bottom * height) |==> <NO-OP>
361:STD:CALL:<NO-OP>:org.jfree.chart.util.RectangleInsets@calculateBottomInset:392:result |==> 0.0
362:STD:ASSIGN:<NO-OP>:org.jfree.chart.util.RectangleInsets@calculateBottomOutset:403:this.bottom |==> 0.0
363:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.jfree.chart.util.RectangleInsets@calculateBottomOutset:404:this.unitType == UnitType.RELATIVE |==> false
364:LVR:POS:0:org.jfree.chart.util.RectangleInsets@calculateBottomOutset:405:1 |==> 0
365:LVR:POS:NEG:org.jfree.chart.util.RectangleInsets@calculateBottomOutset:405:1 |==> -1
366:AOR:-(double,double):%(double,double):org.jfree.chart.util.RectangleInsets@calculateBottomOutset:405:1 - this.top |==> 1 % this.top
367:AOR:-(double,double):*(double,double):org.jfree.chart.util.RectangleInsets@calculateBottomOutset:405:1 - this.top |==> 1 * this.top
368:AOR:-(double,double):+(double,double):org.jfree.chart.util.RectangleInsets@calculateBottomOutset:405:1 - this.top |==> 1 + this.top
369:AOR:-(double,double):/(double,double):org.jfree.chart.util.RectangleInsets@calculateBottomOutset:405:1 - this.top |==> 1 / this.top
370:AOR:-(double,double):%(double,double):org.jfree.chart.util.RectangleInsets@calculateBottomOutset:405:1 - this.top - this.bottom |==> (1 - this.top) % this.bottom
371:AOR:-(double,double):*(double,double):org.jfree.chart.util.RectangleInsets@calculateBottomOutset:405:1 - this.top - this.bottom |==> (1 - this.top) * this.bottom
372:AOR:-(double,double):+(double,double):org.jfree.chart.util.RectangleInsets@calculateBottomOutset:405:1 - this.top - this.bottom |==> 1 - this.top + this.bottom
373:AOR:-(double,double):/(double,double):org.jfree.chart.util.RectangleInsets@calculateBottomOutset:405:1 - this.top - this.bottom |==> (1 - this.top) / this.bottom
374:AOR:/(double,double):%(double,double):org.jfree.chart.util.RectangleInsets@calculateBottomOutset:405:height / (1 - this.top - this.bottom) |==> height % (1 - this.top - this.bottom)
375:AOR:/(double,double):*(double,double):org.jfree.chart.util.RectangleInsets@calculateBottomOutset:405:height / (1 - this.top - this.bottom) |==> height * (1 - this.top - this.bottom)
376:AOR:/(double,double):+(double,double):org.jfree.chart.util.RectangleInsets@calculateBottomOutset:405:height / (1 - this.top - this.bottom) |==> height + (1 - this.top - this.bottom)
377:AOR:/(double,double):-(double,double):org.jfree.chart.util.RectangleInsets@calculateBottomOutset:405:height / (1 - this.top - this.bottom) |==> height - (1 - this.top - this.bottom)
378:AOR:*(double,double):%(double,double):org.jfree.chart.util.RectangleInsets@calculateBottomOutset:405:(height / (1 - this.top - this.bottom)) * this.bottom |==> (height / (1 - this.top - this.bottom)) % this.bottom
379:AOR:*(double,double):+(double,double):org.jfree.chart.util.RectangleInsets@calculateBottomOutset:405:(height / (1 - this.top - this.bottom)) * this.bottom |==> (height / (1 - this.top - this.bottom)) + this.bottom
380:AOR:*(double,double):-(double,double):org.jfree.chart.util.RectangleInsets@calculateBottomOutset:405:(height / (1 - this.top - this.bottom)) * this.bottom |==> (height / (1 - this.top - this.bottom)) - this.bottom
381:AOR:*(double,double):/(double,double):org.jfree.chart.util.RectangleInsets@calculateBottomOutset:405:(height / (1 - this.top - this.bottom)) * this.bottom |==> (height / (1 - this.top - this.bottom)) / this.bottom
382:STD:<ASSIGN>:<NO-OP>:org.jfree.chart.util.RectangleInsets@calculateBottomOutset:405:result = (height / (1 - this.top - this.bottom)) * this.bottom |==> <NO-OP>
383:STD:CALL:<NO-OP>:org.jfree.chart.util.RectangleInsets@calculateBottomOutset:407:result |==> 0.0
384:STD:ASSIGN:<NO-OP>:org.jfree.chart.util.RectangleInsets@calculateLeftInset:418:this.left |==> 0.0
385:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.jfree.chart.util.RectangleInsets@calculateLeftInset:419:this.unitType == UnitType.RELATIVE |==> false
386:AOR:*(double,double):%(double,double):org.jfree.chart.util.RectangleInsets@calculateLeftInset:420:this.left * width |==> this.left % width
387:AOR:*(double,double):+(double,double):org.jfree.chart.util.RectangleInsets@calculateLeftInset:420:this.left * width |==> this.left + width
388:AOR:*(double,double):-(double,double):org.jfree.chart.util.RectangleInsets@calculateLeftInset:420:this.left * width |==> this.left - width
389:AOR:*(double,double):/(double,double):org.jfree.chart.util.RectangleInsets@calculateLeftInset:420:this.left * width |==> this.left / width
390:STD:<ASSIGN>:<NO-OP>:org.jfree.chart.util.RectangleInsets@calculateLeftInset:420:result = (this.left * width) |==> <NO-OP>
391:STD:CALL:<NO-OP>:org.jfree.chart.util.RectangleInsets@calculateLeftInset:422:result |==> 0.0
392:STD:ASSIGN:<NO-OP>:org.jfree.chart.util.RectangleInsets@calculateLeftOutset:433:this.left |==> 0.0
393:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.jfree.chart.util.RectangleInsets@calculateLeftOutset:434:this.unitType == UnitType.RELATIVE |==> false
394:LVR:POS:0:org.jfree.chart.util.RectangleInsets@calculateLeftOutset:435:1 |==> 0
395:LVR:POS:NEG:org.jfree.chart.util.RectangleInsets@calculateLeftOutset:435:1 |==> -1
396:AOR:-(double,double):%(double,double):org.jfree.chart.util.RectangleInsets@calculateLeftOutset:435:1 - this.left |==> 1 % this.left
397:AOR:-(double,double):*(double,double):org.jfree.chart.util.RectangleInsets@calculateLeftOutset:435:1 - this.left |==> 1 * this.left
398:AOR:-(double,double):+(double,double):org.jfree.chart.util.RectangleInsets@calculateLeftOutset:435:1 - this.left |==> 1 + this.left
399:AOR:-(double,double):/(double,double):org.jfree.chart.util.RectangleInsets@calculateLeftOutset:435:1 - this.left |==> 1 / this.left
400:AOR:-(double,double):%(double,double):org.jfree.chart.util.RectangleInsets@calculateLeftOutset:435:1 - this.left - this.right |==> (1 - this.left) % this.right
401:AOR:-(double,double):*(double,double):org.jfree.chart.util.RectangleInsets@calculateLeftOutset:435:1 - this.left - this.right |==> (1 - this.left) * this.right
402:AOR:-(double,double):+(double,double):org.jfree.chart.util.RectangleInsets@calculateLeftOutset:435:1 - this.left - this.right |==> 1 - this.left + this.right
403:AOR:-(double,double):/(double,double):org.jfree.chart.util.RectangleInsets@calculateLeftOutset:435:1 - this.left - this.right |==> (1 - this.left) / this.right
404:AOR:/(double,double):%(double,double):org.jfree.chart.util.RectangleInsets@calculateLeftOutset:435:width / (1 - this.left - this.right) |==> width % (1 - this.left - this.right)
